source_id;source_name;organization;source_type;evidence_level;primary_product_use;key_takeaway;url;notes
cdc_ltsae_key_points;"CDC Key Points about Developmental Milestone Checklists";CDC;official guidance;gold;"Milestone disclaimers, monitoring/surveillance framing";"CDC milestones are for monitoring/surveillance, not diagnosis or screening; missed milestones should prompt discussion or further action.";https://www.cdc.gov/act-early/milestones/key-points.html;"Use as core safety language."
cdc_ltsae_about;"CDC Learn the Signs. Act Early. About";CDC;official program page;gold;"Parent-facing positioning and act-early logic";"CDC supports family-engaged developmental monitoring and encourages families to talk with providers and ask about screening when concerned.";https://www.cdc.gov/act-early/about/index.html;"Good model for tone: celebrate, monitor, act early."
aap_zubler_2022;"Evidence-Informed Milestones for Developmental Surveillance Tools";AAP/Pediatrics;peer-reviewed paper;gold;"Milestone methodology";"CDC revised milestones use an evidence-informed process, observable milestones, plain language, and a threshold where most children, 75% or more, are expected to demonstrate the milestone.";https://publications.aap.org/pediatrics/article/149/3/e2021052138/184748/Evidence-Informed-Milestones-for-Developmental;"Use to justify why CDC age placement is used."
aap_surveillance_screening_2020;"Promoting Optimal Development: Developmental Surveillance and Screening";AAP;clinical policy;gold;"Distinguish surveillance vs screening vs evaluation";"AAP recommends ongoing surveillance and standardized developmental screening at target ages and whenever concerns arise.";https://publications.aap.org/pediatrics/article/145/1/e20193449/36971/Promoting-Optimal-Development-Identifying-Infants;"Supports professional referral logic."
aap_bright_futures;"Bright Futures Guidelines and Pocket Guide";AAP;clinical guideline;gold;"Health supervision visit framing";"Bright Futures provides age-based preventive care and anticipatory guidance structure for pediatric visits.";https://www.aap.org/en/practice-management/bright-futures/bright-futures-materials-and-tools/bright-futures-guidelines-and-pocket-guide/;"Use for visit schedule and clinician-friendly language."
who_motor_milestones;"WHO Motor Development Milestones";WHO;official standard/resource;gold;"Gross motor windows and percentiles";"WHO provides windows of achievement for six gross motor milestones from the Multicentre Growth Reference Study.";https://www.who.int/tools/child-growth-standards/standards/motor-development-milestones;"Use for motor nuance beyond single age points."
who_nurturing_care;"Nurturing Care Framework for Early Childhood Development";WHO/UNICEF/World Bank;global framework;gold;"ECD framing, responsive caregiving, early learning";"Children need health, nutrition, security and safety, responsive caregiving and opportunities for early learning.";https://www.who.int/publications/i/item/9789241514064;"Use for holistic EU-friendly framing."
who_europe_ecd;"Framework on Early Childhood Development in the WHO European Region";WHO Europe;regional framework;gold;"European adaptation";"European ECD framework highlights young children's needs, monitoring development, responding to concerns, and social/environmental risks.";https://www.who.int/europe/publications/i/item/WHO-EURO-2020-504-40239-53897;"Core EU positioning source."
harvard_serve_return_topic;"Serve and Return";Harvard Center on the Developing Child;research translation;silver;"Why-it-works mechanism for interaction activities";"Responsive back-and-forth interactions shape brain architecture and support social, emotional and cognitive skills.";https://developingchild.harvard.edu/topic/serve-and-return/;"Use for language/social-emotional activity explanations."
harvard_serve_return_guide;"A Guide to Serve & Return";Harvard Center on the Developing Child;research translation;silver;"Parent-friendly activity mechanism";"Caregiver responsiveness to a child's signals creates serve-and-return experiences that support development.";https://developingchild.harvard.edu/resource-guides/guide-serve-and-return/;"Useful for parent-friendly wording."
harvard_serve_return_5_steps;"How-to: 5 Steps for Brain-Building Serve and Return";Harvard Center on the Developing Child;practice guide/video;silver;"Concrete parent-facing steps for responsive interaction";"Parents can notice a child's signal, return it, name it, take turns, and practice endings/beginnings in everyday routines.";https://developingchild.harvard.edu/resources/how-to-5-steps-for-brain-building-serve-and-return/;"Use for short interaction cards and scripts."
harvard_brain_building_play;"Brain-Building Through Play: Activities for Infants, Toddlers, and Children";Harvard Center on the Developing Child / LEGO Foundation;handout and tool;silver;"Age-based play ideas and executive-function practice";"Simple playful interactions help children practice attention, working memory and self-control while strengthening relationships.";https://developingchild.harvard.edu/resources/handouts-tools/brainbuildingthroughplay/;"Use as activity-form source, not as milestone proof."
harvard_executive_function_guide;"A Guide to Executive Function";Harvard Center on the Developing Child;research translation;silver;"Executive function and self-regulation mechanisms";"Executive-function skills develop through supportive environments and practice, including attention, working memory, flexibility and self-control.";https://developingchild.harvard.edu/key_concepts/executive_function/;"Useful for toddler+ and future behavior/routine products."
harvard_executive_function_activities;"Activities Guide: Enhancing and Practicing Executive Function Skills with Children from Infancy to Adolescence";Harvard Center on the Developing Child;handout and tool;silver;"Practical executive-function activities by age";"Age-appropriate games and routines can help children practice executive function from infancy onward.";https://developingchild.harvard.edu/resources/handouts-tools/activities-guide-enhancing-and-practicing-executive-function-skills/;"Use for future self-regulation/routine cards."
harvard_play_early_childhood;"Play in Early Childhood: The Role of Play in Any Setting";Harvard Center on the Developing Child;research translation/video;silver;"Play as mechanism for relationships, core skills and stress reduction";"Play supports responsive relationships, core life skills and stress buffering in early childhood.";https://developingchild.harvard.edu/resources/videos/play-in-early-childhood-the-role-of-play-in-any-setting/;"Use for play-based recommendation rationale."
cdc_ltsae_2_months;"CDC Milestones by 2 Months";CDC;official milestone page;gold;"2-month milestone age page";"Parent-facing milestones and activity tips for 2 months. CDC states these materials are not substitutes for standardized validated developmental screening tools.";https://www.cdc.gov/act-early/milestones/2-months.html;"Age-specific source ID for MVP map."
cdc_ltsae_4_months;"CDC Milestones by 4 Months";CDC;official milestone page;gold;"4-month milestone age page";"Parent-facing milestones and activity tips for 4 months. Use as source for observable milestone structure.";https://www.cdc.gov/act-early/milestones/4-months.html;"Age-specific source ID for MVP map."
cdc_ltsae_6_months;"CDC Milestones by 6 Months";CDC;official milestone page;gold;"6-month milestone age page";"Parent-facing milestones and activity tips for 6 months. Use as source for 6-month review-ready page.";https://www.cdc.gov/act-early/milestones/6-months.html;"Age-specific source ID for MVP map and sample page."
cdc_ltsae_9_months;"CDC Milestones by 9 Months";CDC;official milestone page;gold;"9-month milestone age page";"Parent-facing milestones and activity tips for 9 months. Use as source for 9-month MVP map.";https://www.cdc.gov/act-early/milestones/9-months.html;"Age-specific source ID for MVP map."
cdc_ltsae_12_months;"CDC Milestones by 1 Year";CDC;official milestone page;gold;"12-month milestone age page";"Parent-facing milestones and activity tips for 1 year. Use as source for 12-month MVP map.";https://www.cdc.gov/act-early/milestones/1-year.html;"Age-specific source ID for MVP map."
