work_id;author_ids;authors;title;work_type;priority_for_project;project_use;use_as;caution;status;source_url;notes
work_harvard_001;harvard_cdc;Harvard Center on the Developing Child;A Guide to Serve & Return;resource guide;core;Responsive interaction mechanism for language social-emotional and cognitive activities;mechanism_support;none;verified;https://developingchild.harvard.edu/resource-guides/guide-serve-and-return/;Use as Silver mechanism source for parent-friendly interaction cards
work_harvard_002;harvard_cdc;Harvard Center on the Developing Child;How-to: 5 Steps for Brain-Building Serve and Return;practice guide/video;core;Concrete parent-facing steps for notice respond name take turns and endings;mechanism_support;none;verified;https://developingchild.harvard.edu/resources/how-to-5-steps-for-brain-building-serve-and-return/;Useful for short scripts and activity steps
work_harvard_003;harvard_cdc;Harvard Center on the Developing Child / LEGO Foundation;Brain-Building Through Play: Activities for Infants, Toddlers, and Children;handout/tool;core;Age-based play forms for infants toddlers and children;mechanism_support;none;verified;https://developingchild.harvard.edu/resources/handouts-tools/brainbuildingthroughplay/;Use for activity forms, not milestone proof
work_harvard_004;harvard_cdc;Harvard Center on the Developing Child;A Guide to Executive Function;resource guide;supporting;Executive function and self-regulation mechanism for toddler+ and future products;mechanism_support;none;verified;https://developingchild.harvard.edu/key_concepts/executive_function/;Good for attention working memory flexibility and self-control framing
work_harvard_005;harvard_cdc;Harvard Center on the Developing Child;Activities Guide: Enhancing and Practicing Executive Function Skills with Children from Infancy to Adolescence;handout/tool;supporting;Age-based activities for executive function practice;mechanism_support;none;verified;https://developingchild.harvard.edu/resources/handouts-tools/activities-guide-enhancing-and-practicing-executive-function-skills/;Use for future routine behavior and self-regulation cards
work_harvard_006;harvard_cdc;Harvard Center on the Developing Child;Play in Early Childhood: The Role of Play in Any Setting;video/research translation;supporting;Play rationale for relationships core skills and stress buffering;mechanism_support;none;verified;https://developingchild.harvard.edu/resources/videos/play-in-early-childhood-the-role-of-play-in-any-setting/;Use for play-based recommendation rationale
work_glascoe_001;glascoe;Frances Page Glascoe;Parents' Concerns About Children's Development: Prescreening Technique or Screening Test?;article;core;Parent concern logic and screening-adjacent boundary language;boundary;none;verified;https://publications.aap.org/pediatrics/article/99/4/522/75265/Parents-Concerns-About-Children-s-Development;Use for concern elicitation and when-to-discuss framing
work_glascoe_002;glascoe;Frances Page Glascoe;The Value of Parents' Evaluations of Developmental Status in Detecting and Addressing Children's Developmental and Behavioral Problems;article;core;PEDS rationale and parent concern validity;boundary;none;verified;https://journals.sagepub.com/doi/10.1177/073724779802300401;Use as clinical/research support, not parent-facing diagnosis
work_glascoe_003;glascoe;Frances Page Glascoe;PEDS: Developmental Milestones - An Accurate Brief Tool for Surveillance and Screening;article/tool manual support;core;Developmental milestone surveillance and screening context;boundary;none;verified;https://journals.sagepub.com/doi/10.1177/0009922807309419;Useful for professional summary logic
work_glascoe_004;glascoe|marks|poon|macias;Frances Page Glascoe, Kevin P. Marks, Jennifer K. Poon, Michelle M. Macias;Identifying and Addressing Developmental-Behavioral Problems: A Practical Guide for Medical and Non-medical Professionals, Trainees, Researchers and Advocates;book;core;Developmental-behavioral framework and professional-facing care process;boundary;none;verified;https://pedstest.com/thebook/;Shared clinical-practical source for monitoring authors
work_marks_001;marks|glascoe|macias;Kevin P. Marks, Frances Page Glascoe, Michelle M. Macias;Enhancing the Algorithm for Developmental-Behavioral Surveillance and Screening in Children 0 to 5 Years;article;core;Surveillance/screening workflow and follow-up logic;boundary;none;verified;https://journals.sagepub.com/doi/10.1177/0009922811406263;Use for workflow architecture, not direct parent advice
work_macias_001;macias;Michelle M. Macias;Promoting Optimal Development: Identifying Infants and Young Children With Developmental Disorders Through Developmental Surveillance and Screening;AAP clinical report;core;AAP surveillance, screening, referral and monitoring boundaries;boundary;none;verified;https://publications.aap.org/pediatrics/article/145/1/e20193449/36971/Promoting-Optimal-Development-Identifying-Infants;High-value safety boundary source
work_macias_002;macias;Michelle M. Macias;Evidence-Informed Milestones for Developmental Surveillance Tools;article;core;CDC milestone revision rationale and 75 percent milestone criterion;boundary;none;verified;https://stacks.cdc.gov/view/cdc/122643/cdc_122643_DS1.pdf;Use with CDC milestone data and age-framing rules
work_medina_001;medina;John Medina;Brain Rules for Baby: How to Raise a Smart and Happy Child from Zero to Five;book;core;Parent-friendly brain, sleep, stress, attention and play explanations;mechanism_support;moderate;verified;https://brainrules.net/book/brain-rules-for-baby/;Use only after mapping claims to guideline/mechanism
work_siegel_bryson_001;siegel|bryson;Daniel J. Siegel, Tina Payne Bryson;The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind;book;core;Co-regulation, naming emotions, connection before correction;mechanism_support;moderate;verified;https://books.apple.com/us/book/the-whole-brain-child/id422546879;Translate to simple parent wording and avoid neuroscience overclaiming
work_siegel_bryson_002;siegel|bryson;Daniel J. Siegel, Tina Payne Bryson;No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind;book;core;Discipline as teaching, tantrum/regulation response;mechanism_support;moderate;verified;https://penguinrandomhousehighereducation.com/book/?isbn=9780345548047;Best for toddler+ recommendations
work_siegel_bryson_003;siegel|bryson;Daniel J. Siegel, Tina Payne Bryson;The Power of Showing Up: How Parental Presence Shapes Who Our Kids Become and How Their Brains Get Wired;book;supporting;Responsive caregiving, parental presence and attachment language;mechanism_support;moderate;verified;https://www.randomhousebooks.com/books/562899/;Good for parent-facing tone, still hedge brain claims
work_siegel_001;siegel;Daniel J. Siegel;The Developing Mind: How Relationships and the Brain Interact to Shape Who We Are;textbook/book;supporting;Internal framework for interpersonal neurobiology and development;mechanism_support;moderate;verified;https://drdansiegel.com/book/the-developing-mind/;Mainly internal theory, not direct source for short parent tips
work_siegel_002;siegel;Daniel J. Siegel, Mary Hartzell;Parenting from the Inside Out: How a Deeper Self-Understanding Can Help You Raise Children Who Thrive;book;supporting;Parent reflection, emotional triggers and secure relationship framing;mechanism_support;moderate;verified;https://books.apple.com/us/book/parenting-from-the-inside-out/id804069783;Useful for parent support projects beyond milestones
work_stamm_001;stamm;Jill Stamm;Bright from the Start: The Simple, Science-Backed Way to Nurture Your Child's Developing Mind from Birth to Age 3;book;core;0-3 daily interaction, attention, repetition, joint attention;mechanism_support;moderate;verified;https://www.penguinrandomhouse.com/books/299797/bright-from-the-start-by-jill-stamm/;Use for low-pressure daily routines
work_eliot_001;eliot;Lise Eliot;What's Going On in There?: How the Brain and Mind Develop in the First Five Years of Life;book;core;Early brain development, plasticity, sensory and relational experience;mechanism_support;moderate;verified;https://www.penguinrandomhouse.com/books/45833/whats-going-on-in-there-by-lise-eliot-phd/;Good for broader projects, avoid dated or deterministic claims
work_luria_001;luria;A. R. Luria;The Working Brain: An Introduction to Neuropsychology;book;supporting;Internal theory for brain organization, attention and cognition;mechanism_support;moderate;verified;https://books.google.com/books/about/The_Working_Brain.html?id=5MaNCgAAQBAJ;Not parent-facing as source text
work_luria_002;luria;A. R. Luria, F. Ia. Yudovich;Speech and the Development of Mental Processes in the Child / The role of language on the development of mental processes;book/article;supporting;Language and self-regulation theory;mechanism_support;moderate;verified;https://journals.sagepub.com/doi/abs/10.1080/02103702.1978.10821701;Use as theoretical backing only
work_bernstein_001;bernstein;N. A. Bernstein;On Dexterity and Its Development / Dexterity and Its Development;book/reviewed work;core;Motor control, coordination, skill acquisition and practice variation;mechanism_support;moderate;verified;https://www.tandfonline.com/doi/abs/10.1080/00222895.1994.9941662;Use internally for motor mechanisms
work_bernstein_002;bernstein;N. A. Bernstein;The Co-ordination and Regulation of Movements;book;supporting;Foundational motor-control theory;mechanism_support;moderate;verified;https://openlibrary.org/books/OL18650253M/The_co-ordination_and_regulation_of_movements;Use internally, translate to play/movement language
work_hpg_001;hirsh-pasek|golinkoff;Kathy Hirsh-Pasek, Roberta Michnick Golinkoff, Diane Eyer;Einstein Never Used Flash Cards: How Our Children Really Learn and Why They Need to Play More and Memorize Less;book;core;Playful learning, anti-pressure framing, parent-child interaction;mechanism_support;none;verified;https://books.google.com/books/about/Einstein_Never_Used_Flash_Cards.html?id=pr8KhGm9B3UC;High-value counterweight to flashcard-heavy methods
work_hpg_002;hirsh-pasek|golinkoff;Roberta Michnick Golinkoff, Kathy Hirsh-Pasek;How Babies Talk: The Magic and Mystery of Language in the First Three Years of Life;book;core;Early language, conversational interaction, parent response;mechanism_support;none;verified;https://penguinrandomhousehighereducation.com/book/?isbn=9780452281738;Useful for language recommendations
work_hpg_003;hirsh-pasek|golinkoff;Kathy Hirsh-Pasek, Roberta M. Golinkoff;The Origins of Grammar: Evidence from Early Language Comprehension;book;supporting;Language comprehension research and infant word/syntax learning;mechanism_support;none;verified;https://mitpress.mit.edu/9780262581806/the-origins-of-grammar/;More academic, use for internal grounding
work_hpg_004;hirsh-pasek|golinkoff;Kathy Hirsh-Pasek, Roberta Michnick Golinkoff, Laura E. Berk, Dorothy Singer;A Mandate for Playful Learning in Preschool: Presenting the Evidence;book;supporting;Playful learning evidence and policy/practice framing;mechanism_support;none;verified;https://academic.oup.com/book/9730;More preschool than 0-12mo, useful for future projects
work_hpg_005;hirsh-pasek|golinkoff;Roberta Michnick Golinkoff, Kathy Hirsh-Pasek;Becoming Brilliant: What Science Tells Us About Raising Successful Children;book;supporting;6C framework for future learning projects;mechanism_support;none;verified;https://becoming-brilliant.com/;Future-project friendly, not milestone boundary
work_mooney_001;mooney;Carol Garhart Mooney;Theories of Childhood: An Introduction to Dewey, Montessori, Erikson, Piaget and Vygotsky;book;supporting;Bridge from classic theory to early-childhood practice;inspiration_form_only;none;verified;https://www.redleafpress.org/Theories-of-Childhood-Second-Edition-An-Introduction-to-Dewey-Montessori-Erikson-Piaget-Vygotsky-P781.aspx;Use as secondary theory, not evidence proof
work_neufeld_mate_001;neufeld|mate;Gordon Neufeld, Gabor Maté;Hold On to Your Kids: Why Parents Need to Matter More Than Peers;book;supporting;Optional warm-presence form without required reciprocity;inspiration_form_only;high;verified;https://www.neufeldinstitute.org/books/hold-on-to-your-kids;Full-source audit blocks collecting dependence peer-orientation attachment assessment control separation and caregiver-blame claims
work_lieberman_001;lieberman;Alicia F. Lieberman;The Emotional Life of the Toddler;book;core;Toddler emotions, tantrums, separation, aggression, parental attunement;mechanism_support;none;verified;https://www.simonandschuster.net/books/The-Emotional-Life-of-the-Toddler/Alicia-F-Lieberman/9781476792033;Excellent for toddler+ emotional recommendations
work_sears_001;sears;William Sears, Martha Sears;The Baby Book;book;supporting;Optional warm responsive-care tone only;inspiration_form_only;high;verified;https://www.askdrsears.com/books/raising-children-books/all-raising-children-books/;Full-source audit blocks method checklist bed-sharing SIDS attachment development intelligence medical and caregiver-blame claims
work_sears_002;sears;William Sears, Martha Sears;The Attachment Parenting Book;book;supporting;Optional warm responsive-care tone only;inspiration_form_only;high;verified;https://www.askdrsears.com/books/raising-children-books/all-raising-children-books/;No attachment-parenting rules sleep or feeding prescriptions attachment assessment superiority or outcomes
work_montessori_001;montessori;Maria Montessori;The Absorbent Mind;book;core;Prepared environment, observation, independence, early sensitive periods;inspiration_form_only;moderate;verified;https://montessori150.org/maria-montessori/montessori-books/absorbent-mind;Use as environment/activity inspiration
work_montessori_002;montessori;Maria Montessori;The Secret of Childhood;book;core;Adult observation, respect for child, early childhood environment;inspiration_form_only;moderate;verified;https://montessori150.org/maria-montessori/montessori-books/secret-childhood;Use for tone and environment, not proof
work_montessori_003;montessori;Maria Montessori;The Discovery of the Child;book;core;Montessori method, child observation and practical environment;inspiration_form_only;moderate;verified;https://montessori150.org/maria-montessori/montessori-books/discovery-child;Use for prepared environment cards
work_montessori_004;montessori;Maria Montessori;The Montessori Method;book;supporting;Original method text and classroom observation principles;inspiration_form_only;moderate;verified;https://www.gutenberg.org/ebooks/39863;Public domain text, still avoid overusing quoted passages
work_suzuki_001;suzuki;Shinichi Suzuki;Nurtured by Love: The Classic Approach to Talent Education;book;core;Optional shared-music form only;inspiration_form_only;high;verified;https://suzukiassociation.org/wp-content/uploads/2019/05/47.3-Spring-2019.pdf;Full-source audit blocks repetition training talent treatment outcome and caregiver-blame claims
work_suzuki_002;suzuki;Shinichi Suzuki;Ability Development from Age Zero;book;supporting;Optional shared-music form only;inspiration_form_only;high;verified;https://books.apple.com/us/book/ability-development-from-age-zero/id920638705;Full-source audit blocks training from birth memorization environment-causation and early-achievement pressure
work_shichida_001;shichida;Makoto Shichida;Children Can Change Through Right Brain Education;book;supporting;Method inspiration and parent-child activity form;inspiration_form_only;high;verified;https://www.shichida.com/category/T_TYPE_09/214007.html;High caution around right-brain and extraordinary ability claims
work_shichida_002;shichida;Makoto Shichida;Right Brain Education in Infancy;book;supporting;Method-material context for early stimulation claims;inspiration_form_only;high;verified;https://shichidaeducation.com/shichida-method-books-and-teaching-materials/;Use only to understand method, not as evidence
work_shichida_003;shichida;Makoto Shichida;The Mystery of the Right Brain: Unlock Your Child's Innate Potential!;book;low;Method context and claims to avoid/hedge;inspiration_form_only;high;verified;https://books.google.com/books/about/The_Mystery_of_the_Right_Brain.html?id=Kg2HMwEACAAJ;Useful mainly for caution mapping
work_doman_001;doman;Glenn Doman, Janet Doman;How to Teach Your Baby to Read;book/course material;supporting;Early literacy method context and claims to avoid/hedge;inspiration_form_only;high;verified;https://iahp.org/read-video/;Use as method reference only, not recommendation proof
work_doman_002;doman;Glenn Doman, Janet Doman;How to Teach Your Baby Math;book;low;Early math method context;inspiration_form_only;high;verified;https://iahp.org/well-children/how-to-multiply-course/register/;Do not turn into pressure-based activities
work_doman_003;doman;Glenn Doman, Janet Doman;How to Multiply Your Baby's Intelligence;book/course material;supporting;Claims to map cautiously against safety rules;inspiration_form_only;high;verified;https://iahp.org/multiply-babys-intelligence/;Useful for identifying unsupported claims to avoid
work_ibuka_001;ibuka;Masaru Ibuka;Kindergarten Is Too Late!;book;supporting;Early-start philosophy and claims to hedge;inspiration_form_only;high;verified;https://openlibrary.org/books/OL4418052M/Kindergarten_is_too_late%21;Use only without fear/pressure framing
work_sasse_001;sasse;Margaret Sassé;Smart Start: How Exercise Can Transform Your Child's Life;book;core;Movement activity inspiration and sensory-motor play;inspiration_form_only;high;verified;https://openlibrary.org/books/OL28448455M/Smart_Start;Illustrations by Georges McKail. Claims need mapping to WHO/CDC motor guidance
work_sasse_002;sasse;Margaret Sasse;Active Baby, Healthy Brain: 135 Fun Exercises and Activities to Maximize Your Child's Brain Development from Birth Through Age 5 1/2;book;core;Movement activity forms for 0-5;inspiration_form_only;high;verified;https://openlibrary.org/books/OL26155707M/Active_Baby_Healthy_Brain;Extract only paraphrased activity principles, not exercises verbatim
work_pikler_001;pikler;Emmi Pikler;Pikler / Loczy approach to free movement;method/book corpus;core;Free movement, no forced positions, safe space for motor exploration;inspiration_form_only;moderate;needs_more_sources;https://thepiklercollection.weebly.com/books.html;Create detailed cards only after choosing exact book/source edition
